id,consum_activity,service_type,is_allow_report,market_activ_6_mon,market_activ_cur_mon,duration,promo,pop_cat_goods,mean_view_cat_per_visit,unpaid_goods_per_quater,serv_error,webpage_per_visit,last_last_rev,last_rev,current_rev,last_dur_minutes,current_dur_minutes
215377,Снизилась,стандарт,да,4.6,4,730,0.27,Товары для детей,2,5,8,5,5096.5,4273.0,5872.6,8,7
215378,Снизилась,стандарт,да,1.7,3,488,0.39,Техника для красоты и здоровья,5,1,4,3,3543.0,4302.0,4364.6,12,8
215379,Снизилась,стандарт,нет,3.4,4,436,0.98,Товары для детей,3,0,3,5,4300.0,4360.0,4394.9,10,15
215380,Снизилась,премиум,нет,1.7,4,637,0.94,Техника для красоты и здоровья,3,2,4,7,6077.0,5051.0,106862.2,12,14
215381,Снизилась,стандарт,да,3.6,5,554,0.33,Домашний текстиль,6,1,6,5,5467.5,4503.0,5783.4,9,9
215382,Снизилась,стандарт,да,4.6,4,330,0.89,Техника для красоты и здоровья,6,2,7,6,5545.5,4824.0,6403.5,15,8
215383,Снизилась,стандарт,да,2.7,4,504,0.33,Техника для красоты и здоровья,2,4,2,4,5560.0,4729.0,5989.0,7,10
215384,Снизилась,стандарт,да,4.0,4,1020,0.34,Косметика и аксесуары,2,3,8,3,3584.0,4226.0,4010.4,11,12
215385,Снизилась,стандарт,да,3.6,4,721,0.24,Домашний текстиль,5,3,4,4,6184.5,4707.0,6627.8,10,8
215386,Снизилась,стандарт,да,1.5,3,495,0.98,Домашний текстиль,2,3,7,5,3146.0,4751.0,4478.5,14,8
215387,Снизилась,стандарт,да,4.6,3,135,0.32,Косметика и аксесуары,5,0,3,4,5414.0,4607.0,5658.4,7,5
215388,Снизилась,стандарт,да,3.5,4,663,0.99,Домашний текстиль,4,2,2,2,3188.0,4182.0,3232.2,10,12
215389,Снизилась,премиум,да,4.1,3,1047,0.93,Товары для детей,5,2,3,7,4550.0,4484.0,4429.1,7,7
215390,Снизилась,стандарт,да,3.1,4,152,0.33,Косметика и аксесуары,6,4,2,5,4254.0,4549.0,4612.8,8,12
215391,Снизилась,премиум,да,3.5,3,754,0.3,Косметика и аксесуары,3,1,2,1,5928.5,4556.0,5824.5,10,11
215392,Снизилась,премиум,да,3.9,3,525,0.28,Кухонная посуда,5,0,4,4,4548.0,4341.0,5234.4,7,7
215393,Снизилась,стандарт,нет,4.6,4,169,0.93,Техника для красоты и здоровья,2,1,3,7,5267.5,4909.0,5345.5,12,11
215394,Снизилась,стандарт,да,3.0,5,966,0.3,Товары для детей,3,1,2,4,5420.0,4952.0,5651.4,8,7
215395,Снизилась,премиум,да,1.5,5,645,0.27,Товары для детей,3,3,6,5,5297.5,4972.0,5677.1,9,9
215396,Снизилась,стандарт,да,3.4,5,706,0.22,Домашний текстиль,2,3,8,4,5876.0,4805.0,6830.2,12,6
215397,Снизилась,стандарт,да,4.2,3,689,0.31,Домашний текстиль,4,2,2,3,4541.0,4430.0,5040.2,6,8
215398,Снизилась,премиум,да,3.5,5,882,0.22,Мелкая бытовая техника и электроника,3,2,6,3,5530.5,4557.0,5854.2,5,6
215399,Снизилась,премиум,да,4.1,4,1007,0.3,Товары для детей,4,5,3,6,3857.0,4529.0,4900.9,13,10
215400,Снизилась,стандарт,нет,4.4,5,304,0.94,Товары для детей,1,4,3,2,5681.0,4439.0,5691.4,11,9
215401,Снизилась,премиум,да,3.4,5,339,0.3,Косметика и аксесуары,2,3,3,4,5548.5,4833.0,6065.9,10,8
215402,Снизилась,премиум,да,3.0,5,954,0.93,Товары для детей,3,2,4,6,4918.0,4702.0,4940.1,5,5
215403,Снизилась,премиум,да,1.7,5,771,0.39,Техника для красоты и здоровья,1,8,2,5,5824.0,4957.0,6427.2,7,8
215404,Снизилась,стандарт,да,2.4,3,699,0.94,Домашний текстиль,4,1,2,3,3788.0,4449.0,4867.0,12,13
215405,Снизилась,стандарт,да,3.0,3,669,0.34,Кухонная посуда,4,2,5,4,6226.5,4881.0,7104.0,12,9
215406,Снизилась,стандарт,да,2.4,5,511,0.3,Товары для детей,3,2,4,6,5715.5,4763.0,6257.6,6,6
215407,Снизилась,премиум,да,2.4,4,974,0.35,Домашний текстиль,4,3,4,6,5502.0,4884.0,5919.3,9,13
215408,Снизилась,премиум,да,2.4,3,666,0.98,Кухонная посуда,3,5,1,2,5295.0,4434.0,5029.8,10,12
215409,Снизилась,премиум,да,1.4,4,857,0.95,Кухонная посуда,3,4,5,5,5219.5,4465.0,5538.0,6,12
215410,Снизилась,стандарт,да,3.0,3,1048,0.89,Товары для детей,4,5,3,1,4839.0,4248.0,4607.6,6,4
215411,Снизилась,стандарт,да,1.7,4,756,0.33,Товары для детей,2,3,7,4,5395.0,4609.0,5499.0,9,10
215412,Снизилась,премиум,да,2.9,3,506,0.9,Товары для детей,1,5,3,4,5499.5,4607.0,5294.1,10,9
215413,Снизилась,премиум,да,4.0,3,759,0.23,Косметика и аксесуары,1,4,5,5,3943.0,4301.0,4166.6,9,12
215414,Снизилась,премиум,да,4.0,4,768,0.32,Кухонная посуда,2,8,4,4,3757.0,4747.0,4144.4,13,9
215415,Снизилась,стандарт,да,2.4,3,720,0.32,Домашний текстиль,2,6,3,3,6147.0,4875.0,6352.4,13,9
215416,Снизилась,стандарт,да,4.2,4,219,0.24,Товары для детей,2,5,7,8,4461.5,4148.0,4882.7,5,8
215417,Снизилась,премиум,да,4.1,5,377,0.24,Товары для детей,3,2,2,3,3914.0,4991.0,3875.0,9,9
215418,Снизилась,стандарт,нет,1.7,4,472,0.94,Домашний текстиль,2,6,4,3,5943.5,4661.0,6427.1,8,11
215419,Снизилась,премиум,да,3.4,4,806,0.93,Домашний текстиль,3,5,8,6,5816.5,4756.0,5676.1,10,11
215420,Снизилась,стандарт,да,3.5,5,449,0.35,Домашний текстиль,1,9,2,2,5264.0,4568.0,5200.3,11,9
215421,Снизилась,премиум,нет,4.0,5,523,0.94,Техника для красоты и здоровья,1,10,7,5,5130.5,4571.0,5322.9,11,13
215422,Снизилась,стандарт,да,4.2,4,503,0.25,Товары для детей,2,3,1,6,4995.0,4455.0,4668.7,6,12
215423,Снизилась,стандарт,да,3.5,4,515,0.29,Косметика и аксесуары,1,4,4,1,5586.5,4316.0,5682.7,10,10
215424,Снизилась,премиум,да,3.8,3,813,0.36,Домашний текстиль,3,3,2,2,5821.5,4383.0,5859.2,10,14
215425,Снизилась,стандарт,да,4.1,4,249,0.28,Кухонная посуда,2,6,1,4,5202.0,4623.0,5485.4,10,11
215426,Снизилась,премиум,да,2.7,4,829,0.22,Косметика и аксесуары,3,5,4,5,5404.0,4648.0,6150.2,10,7
215427,Снизилась,стандарт,нет,2.4,4,186,0.4,Косметика и аксесуары,3,6,7,6,5549.5,4795.0,6427.0,9,14
215428,Снизилась,стандарт,нет,4.0,3,336,0.9,Домашний текстиль,2,7,2,6,4456.0,4537.0,5444.0,10,9
215429,Снизилась,премиум,нет,0.9,4,690,0.24,Домашний текстиль,2,5,7,4,3662.0,4488.0,4158.6,11,10
215430,Снизилась,стандарт,да,2.9,4,824,0.29,Кухонная посуда,2,2,5,3,5289.5,4712.0,5780.9,12,6
215431,Снизилась,премиум,да,3.9,4,666,0.21,Кухонная посуда,3,3,6,7,5455.5,4692.0,6184.8,12,14
215432,Снизилась,стандарт,нет,4.1,4,377,0.24,Товары для детей,3,3,2,1,5063.5,4648.0,5038.8,12,12
215433,Снизилась,стандарт,да,4.0,4,753,0.89,Товары для детей,2,8,3,2,4599.0,4098.0,4959.1,8,11
215434,Снизилась,стандарт,да,3.9,4,674,0.21,Домашний текстиль,3,5,7,6,4913.0,4604.0,5733.3,7,7
215435,Снизилась,премиум,да,4.8,4,875,0.35,Товары для детей,2,2,5,9,6869.5,5008.0,7605.3,7,11
215436,Снизилась,стандарт,да,4.6,3,844,0.93,Товары для детей,3,8,4,2,5370.0,4752.0,5511.7,10,10
215437,Снизилась,премиум,да,2.4,3,602,0.32,Косметика и аксесуары,2,5,3,3,4987.5,4875.0,4834.1,10,6
215438,Снизилась,стандарт,да,4.0,5,855,0.3,Кухонная посуда,2,6,2,7,4283.0,4235.0,4787.4,10,12
215439,Снизилась,премиум,нет,3.4,5,448,0.28,Товары для детей,4,2,2,7,5484.0,4551.0,5833.7,9,9
215440,Снизилась,стандарт,нет,3.8,5,344,0.4,Товары для детей,3,3,8,3,5470.5,4740.0,5571.9,7,7
215441,Снизилась,стандарт,да,4.1,4,922,0.29,Товары для детей,6,7,1,5,4305.0,4443.0,4029.4,7,12
215442,Снизилась,стандарт,да,2.4,4,298,0.89,Домашний текстиль,6,3,2,3,4665.0,4917.0,4371.2,8,5
215443,Снизилась,премиум,да,3.1,4,893,0.24,Кухонная посуда,2,4,3,2,6291.5,4691.0,6378.6,5,8
215444,Снизилась,стандарт,да,3.1,5,881,0.29,Кухонная посуда,3,5,2,2,4068.0,4162.0,4481.4,5,9
215445,Снизилась,стандарт,нет,4.0,5,372,0.99,Косметика и аксесуары,1,6,6,5,5186.5,4528.0,5208.6,9,10
215446,Снизилась,стандарт,да,3.5,4,788,0.32,Техника для красоты и здоровья,3,3,4,3,4865.5,4435.0,5024.1,11,14
215447,Снизилась,стандарт,да,2.4,5,511,0.94,Товары для детей,3,2,3,3,3311.0,4677.0,3567.1,6,9
215448,Снизилась,премиум,да,4.6,4,974,0.94,Домашний текстиль,4,3,3,7,5351.0,4670.0,6129.7,9,10
215449,Снизилась,премиум,да,2.4,3,666,0.39,Кухонная посуда,3,5,2,3,5051.0,4301.0,5223.9,10,13
215450,Снизилась,премиум,да,5.6,4,857,0.36,Кухонная посуда,3,4,6,5,6211.0,4849.0,7160.0,12,8
215451,Снизилась,стандарт,да,3.9,3,1048,0.22,Товары для детей,4,5,4,5,4043.0,4658.0,4260.1,11,14
215452,Снизилась,стандарт,да,3.8,4,756,0.9,Товары для детей,2,3,6,4,4045.0,4963.0,4206.2,11,10
215453,Снизилась,премиум,да,2.4,3,506,0.22,Товары для детей,1,5,4,3,3332.0,4290.0,3143.5,9,12
215454,Снизилась,премиум,да,4.6,3,759,0.36,Косметика и аксесуары,1,4,8,5,5653.0,4600.0,6301.7,9,9
215455,Снизилась,премиум,да,4.0,3,937,0.22,Косметика и аксесуары,2,4,3,4,5288.5,4564.0,5175.4,12,10
215456,Снизилась,стандарт,да,1.7,4,449,0.23,Косметика и аксесуары,3,4,4,5,5134.5,4353.0,6318.8,10,9
215457,Снизилась,премиум,нет,4.6,5,764,0.32,Товары для детей,2,5,6,4,5291.5,4387.0,5805.0,8,10
215458,Снизилась,стандарт,да,4.4,3,851,0.32,Косметика и аксесуары,3,3,4,6,5772.5,4925.0,6187.2,14,15
215459,Снизилась,премиум,да,4.1,4,768,0.94,Кухонная посуда,2,8,7,6,4782.0,4119.0,5780.4,14,8
215460,Снизилась,стандарт,да,3.5,3,720,0.3,Домашний текстиль,2,6,4,2,5864.5,4729.0,6063.4,10,11
215461,Снизилась,стандарт,да,5.6,4,219,0.39,Товары для детей,2,5,2,1,3598.0,4766.0,3700.7,12,9
215462,Снизилась,премиум,да,5.6,5,377,0.36,Товары для детей,3,2,5,3,5821.0,5002.0,6244.8,6,4
215463,Снизилась,стандарт,нет,3.1,4,472,0.99,Домашний текстиль,2,6,3,3,5196.0,4470.0,5015.3,8,12
215464,Снизилась,премиум,да,2.4,4,806,0.25,Домашний текстиль,3,5,3,8,4990.5,4692.0,5335.0,11,10
215465,Снизилась,стандарт,да,3.5,5,449,0.28,Домашний текстиль,1,9,2,2,4328.5,4579.0,4309.0,11,9
215466,Снизилась,премиум,нет,2.4,5,523,0.3,Техника для красоты и здоровья,1,10,1,4,3202.0,4748.0,2758.7,11,14
215467,Снизилась,стандарт,да,4.4,4,503,0.9,Мелкая бытовая техника и электроника,2,3,3,3,4853.0,4367.0,5062.3,7,13
215468,Снизилась,стандарт,да,2.7,4,515,0.94,Косметика и аксесуары,1,4,2,2,6060.0,4698.0,6346.0,9,11
215469,Снизилась,премиум,да,4.1,3,813,0.22,Домашний текстиль,3,3,4,5,5403.5,4889.0,5228.0,12,8
215470,Снизилась,стандарт,да,3.9,4,249,0.93,Кухонная посуда,2,6,4,2,5157.0,4764.0,5623.7,13,11
215471,Снизилась,премиум,да,3.8,4,829,0.3,Косметика и аксесуары,3,5,6,6,5305.0,4258.0,6255.3,7,9
215472,Снизилась,стандарт,нет,2.4,4,186,0.93,Косметика и аксесуары,3,6,3,4,5920.5,4596.0,6099.9,11,8
215473,Снизилась,стандарт,нет,4.1,3,336,0.22,Домашний текстиль,2,7,2,3,4246.5,4224.0,3987.8,8,13
215474,Снизилась,премиум,нет,3.5,4,690,0.24,Домашний текстиль,2,5,8,5,5470.5,4578.0,5521.2,11,13
215475,Снизилась,стандарт,да,4.8,4,824,0.33,Кухонная посуда,2,2,2,3,5713.0,4834.0,5980.8,11,11
215476,Снизилась,премиум,да,3.1,4,666,0.39,Кухонная посуда,3,3,2,2,5053.0,4243.0,5957.8,6,11
215477,Снизилась,стандарт,нет,1.7,4,377,0.23,Товары для детей,3,3,5,6,3201.0,4356.0,3711.9,12,14
215478,Снизилась,стандарт,да,4.1,4,753,0.24,Товары для детей,2,8,2,2,2960.0,4682.0,3078.3,10,14
215479,Снизилась,стандарт,да,3.4,4,674,0.28,Домашний текстиль,3,5,2,3,5775.0,4641.0,5980.4,10,8
215480,Снизилась,премиум,да,4.4,4,875,0.94,Товары для детей,2,2,8,5,5551.5,4704.0,6244.4,6,12
215481,Снизилась,стандарт,да,3.8,3,844,0.93,Товары для детей,3,8,4,2,3720.0,4374.0,3560.1,10,11
215482,Снизилась,премиум,да,2.7,3,602,0.25,Косметика и аксесуары,2,5,5,2,6457.0,4921.0,6593.5,12,10
215483,Снизилась,стандарт,да,3.9,5,855,0.99,Кухонная посуда,2,6,7,6,6349.0,4834.0,6355.5,8,8
215484,Снизилась,премиум,нет,2.9,5,448,0.23,Товары для детей,4,2,6,3,5059.0,4267.0,5018.7,5,7
215485,Снизилась,стандарт,да,3.5,4,720,0.99,Косметика и аксесуары,1,2,4,7,4201.0,4234.0,5065.5,10,14
215486,Снизилась,премиум,да,3.5,4,1021,0.35,Косметика и аксесуары,2,4,3,5,4478.0,4469.0,4517.0,9,13
215487,Снизилась,стандарт,да,4.8,3,627,0.98,Косметика и аксесуары,5,2,6,5,4531.5,4923.0,5173.7,10,8
215488,Снизилась,стандарт,да,4.1,4,748,0.93,Кухонная посуда,3,4,2,4,5612.0,4652.0,6368.6,10,8
215489,Снизилась,стандарт,нет,3.6,5,344,0.98,Товары для детей,3,3,4,4,6183.5,4817.0,6594.3,9,8
215490,Снизилась,стандарт,да,4.1,4,922,0.35,Товары для детей,6,7,1,5,4849.0,4559.0,5497.7,13,11
215491,Снизилась,стандарт,да,1.7,4,298,0.39,Домашний текстиль,6,3,6,4,4576.0,4705.0,4521.4,11,11
215492,Снизилась,премиум,да,3.9,4,893,0.29,Кухонная посуда,2,4,3,6,5151.0,4389.0,5602.1,6,9
215493,Снизилась,стандарт,да,4.0,5,881,0.99,Кухонная посуда,3,5,6,5,6716.5,4870.0,7799.4,9,10
215494,Снизилась,стандарт,нет,5.6,5,372,0.23,Косметика и аксесуары,1,6,2,3,5258.0,4502.0,5784.5,9,13
215495,Снизилась,стандарт,да,0.9,4,788,0.98,Техника для красоты и здоровья,3,3,3,3,3981.0,4611.0,4369.7,14,11
215496,Снизилась,премиум,да,4.0,4,684,0.4,Техника для красоты и здоровья,1,6,2,4,5020.0,4896.0,5237.1,11,11
215497,Снизилась,премиум,да,5.6,5,719,0.28,Мелкая бытовая техника и электроника,1,2,7,1,5871.5,4475.0,6277.1,9,5
215498,Снизилась,стандарт,нет,3.4,4,891,0.35,Товары для детей,2,2,4,5,6083.5,4624.0,6677.6,9,9
215499,Снизилась,стандарт,да,3.4,4,842,0.89,Техника для красоты и здоровья,2,8,8,3,3526.0,4610.0,4286.5,14,10
215500,Снизилась,стандарт,да,3.5,4,573,0.4,Косметика и аксесуары,2,4,1,4,4137.0,4278.0,3808.1,11,12
215501,Снизилась,премиум,да,3.5,3,1057,0.35,Домашний текстиль,4,3,5,6,6604.0,4993.0,6758.7,9,9
215502,Снизилась,стандарт,да,3.1,4,342,0.98,Кухонная посуда,2,7,5,3,6132.0,4809.0,6314.0,13,10
215503,Снизилась,стандарт,да,2.4,5,638,0.24,Домашний текстиль,1,5,2,1,5046.0,4119.0,4886.1,7,8
215504,Снизилась,стандарт,да,3.4,5,458,0.9,Товары для детей,2,4,2,2,3432.0,4543.0,3412.5,11,10
215505,Снизилась,стандарт,да,4.4,4,254,0.31,Товары для детей,2,3,5,3,3951.0,4698.0,3982.2,7,7
215506,Снизилась,стандарт,нет,3.0,5,600,0.31,Домашний текстиль,1,7,5,4,5052.5,4238.0,5502.3,11,8
215507,Снизилась,стандарт,да,3.8,3,871,0.32,Техника для красоты и здоровья,2,4,6,7,4464.0,4969.0,4794.2,16,9
215508,Снизилась,стандарт,да,3.5,5,574,0.22,Домашний текстиль,3,2,2,2,4672.0,4102.0,5030.8,8,5
215509,Снизилась,премиум,да,4.0,5,982,0.94,Мелкая бытовая техника и электроника,3,1,2,6,5265.5,4880.0,5299.3,8,6
215510,Снизилась,стандарт,да,3.8,4,324,0.22,Техника для красоты и здоровья,2,7,2,2,4244.0,4814.0,4242.7,9,14
215511,Снизилась,стандарт,да,3.9,5,373,0.33,Домашний текстиль,1,4,4,6,4966.5,4428.0,5907.7,10,11
215512,Снизилась,стандарт,да,0.9,3,839,0.4,Косметика и аксесуары,3,3,7,7,5641.0,4513.0,6996.9,12,8
215513,Снизилась,премиум,нет,3.4,4,845,0.22,Домашний текстиль,2,7,7,5,5834.0,4466.0,6664.7,10,8
215514,Снизилась,премиум,да,1.5,4,475,0.21,Косметика и аксесуары,2,3,8,3,5994.0,4839.0,6125.3,6,9
215515,Снизилась,стандарт,нет,4.0,3,509,0.94,Косметика и аксесуары,2,6,4,6,4395.5,4442.0,4067.9,7,13
215516,Снизилась,стандарт,нет,4.4,4,252,0.98,Косметика и аксесуары,3,4,2,1,5208.5,4328.0,5142.2,9,11
215517,Снизилась,премиум,нет,4.0,3,820,0.32,Косметика и аксесуары,4,4,2,5,6036.5,4718.0,6612.4,11,8
215518,Снизилась,премиум,да,3.4,5,744,0.28,Товары для детей,3,2,2,6,4987.0,4156.0,5237.9,6,6
215519,Снизилась,премиум,да,3.1,5,824,0.94,Товары для детей,2,2,4,4,3680.0,4802.0,4283.2,8,8
215520,Снизилась,стандарт,нет,4.1,3,511,0.3,Кухонная посуда,2,6,4,6,4601.5,4102.0,5585.6,11,14
215521,Снизилась,премиум,нет,1.5,3,541,0.9,Товары для детей,2,4,4,5,4045.0,4265.0,4650.8,11,13
215522,Снизилась,премиум,да,2.9,3,1079,0.3,Товары для детей,4,5,5,9,3619.0,5039.0,4595.3,11,11
215523,Снизилась,премиум,да,3.5,4,900,0.4,Кухонная посуда,2,3,9,6,5740.5,4827.0,6407.4,14,13
215524,Снизилась,стандарт,да,3.0,3,474,0.23,Техника для красоты и здоровья,1,10,4,2,3836.0,4508.0,4240.3,12,11
215525,Снизилась,стандарт,да,3.0,4,558,0.32,Товары для детей,1,2,4,1,4769.5,4639.0,4984.0,9,10
215526,Снизилась,стандарт,да,3.1,4,572,0.29,Домашний текстиль,1,8,8,5,5880.5,4508.0,6713.8,13,12
215527,Снизилась,премиум,да,4.1,5,957,0.94,Товары для детей,3,0,5,4,3229.0,4472.0,3849.1,8,8
215528,Снизилась,стандарт,да,4.4,4,773,0.98,Мелкая бытовая техника и электроника,3,3,8,6,5270.0,4502.0,6103.3,8,8
215529,Снизилась,стандарт,нет,3.5,5,717,0.35,Товары для детей,2,6,7,3,3111.0,4449.0,3267.0,10,9
215530,Снизилась,стандарт,да,3.9,5,508,0.4,Домашний текстиль,1,6,3,3,5043.0,4374.0,5391.4,9,10
215531,Снизилась,стандарт,да,4.2,4,184,0.34,Кухонная посуда,1,6,4,2,5518.0,4579.0,6061.4,13,13
215532,Снизилась,стандарт,да,4.1,4,828,0.35,Товары для детей,3,4,4,7,3871.5,4212.0,4422.7,7,9
215533,Снизилась,стандарт,да,4.2,4,944,0.35,Домашний текстиль,2,0,5,7,4468.0,4813.0,5435.2,10,6
215534,Снизилась,премиум,нет,4.0,4,419,0.93,Товары для детей,1,9,3,3,3652.0,4669.0,3856.1,13,10
215535,Снизилась,стандарт,нет,2.6,3,302,0.31,Товары для детей,2,1,1,7,4430.0,4586.0,4667.9,7,9
215536,Снизилась,стандарт,нет,3.8,3,898,0.4,Кухонная посуда,3,6,2,5,6378.5,4952.0,7467.9,15,12
215537,Снизилась,премиум,да,3.9,4,705,0.99,Косметика и аксесуары,3,3,7,4,6121.5,4974.0,6781.9,7,9
215538,Снизилась,премиум,да,1.5,5,788,0.89,Товары для детей,1,4,4,4,6013.5,4641.0,6900.1,8,4
215539,Снизилась,стандарт,да,2.4,4,953,0.4,Товары для детей,4,3,3,4,5204.0,4220.0,5417.2,5,9
215540,Снизилась,премиум,да,1.4,5,355,0.33,Мелкая бытовая техника и электроника,1,1,5,5,5277.5,4826.0,6118.6,9,10
215541,Снизилась,стандарт,нет,4.4,4,616,0.27,Товары для детей,1,7,4,2,3518.0,4605.0,3416.6,10,9
215542,Снизилась,стандарт,нет,3.4,4,622,0.28,Косметика и аксесуары,3,1,4,4,5343.5,4418.0,5772.5,11,9
215543,Снизилась,премиум,нет,1.5,5,335,0.21,Товары для детей,2,0,5,3,4697.5,4684.0,4821.0,5,4
215544,Снизилась,стандарт,да,2.4,4,1025,0.4,Кухонная посуда,3,2,5,6,4732.5,4314.0,4954.8,9,12
215545,Снизилась,стандарт,да,4.6,4,755,0.94,Кухонная посуда,3,7,5,5,4826.5,4567.0,5306.2,9,9
215546,Снизилась,стандарт,да,4.0,4,549,0.31,Товары для детей,4,3,2,4,3659.0,4157.0,4584.6,11,10
215547,Снизилась,премиум,нет,2.6,3,308,0.89,Домашний текстиль,2,8,6,5,5274.5,4655.0,5199.1,14,10
215548,Снизилась,стандарт,да,3.5,4,903,0.35,Кухонная посуда,3,1,3,4,5324.5,4228.0,5761.3,11,12
215549,Снизилась,премиум,да,2.6,3,683,0.28,Товары для детей,1,5,3,6,3781.0,4736.0,4315.3,11,12
215550,Снизилась,премиум,да,3.0,4,434,0.24,Косметика и аксесуары,1,8,3,2,5975.0,4940.0,6251.9,12,9
215551,Снизилась,премиум,да,2.6,3,983,0.21,Косметика и аксесуары,4,2,2,7,4451.0,4598.0,5185.5,7,6
215552,Снизилась,стандарт,да,0.9,4,624,0.89,Косметика и аксесуары,1,9,5,1,5678.5,4726.0,6194.6,12,11
215553,Снизилась,стандарт,да,0.9,4,360,0.33,Домашний текстиль,2,3,3,5,4138.0,4309.0,4594.3,6,10
215554,Снизилась,стандарт,да,3.4,3,1017,0.35,Кухонная посуда,3,5,2,7,4401.5,4733.0,4985.2,9,12
215555,Снизилась,стандарт,нет,4.1,5,348,0.89,Товары для детей,2,2,4,2,4626.5,4271.0,4621.3,8,10
215556,Снизилась,стандарт,нет,2.7,4,742,0.39,Товары для детей,2,2,3,5,5891.0,4640.0,6530.6,7,8
215557,Снизилась,премиум,да,4.1,4,770,0.28,Домашний текстиль,3,2,2,6,4660.0,4633.0,5068.2,10,12
215558,Снизилась,стандарт,да,4.6,5,867,0.25,Кухонная посуда,2,6,3,5,6658.5,4968.0,7212.3,12,14
215559,Снизилась,стандарт,да,4.4,3,701,0.3,Косметика и аксесуары,4,2,4,4,5837.0,5045.0,6363.5,11,9
215560,Снизилась,стандарт,да,3.9,4,589,0.35,Товары для детей,2,6,4,3,3137.0,4931.0,3083.7,14,12
215561,Снизилась,стандарт,нет,2.4,4,527,0.28,Косметика и аксесуары,2,7,4,3,5900.5,4420.0,6174.8,7,12
